,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,
Massachusetts,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Boston ,"3,965","4,139",406,"7,155",13,21, -   ,23,"3,978","4,160",406,"7,178"
,,,,,,,,,,,,,
,Lawrence,"1,655","1,807",207,"3,115", D , D , D , D ,"1,658","1,810",208,"3,118"
,,,,,,,,,,,,,
Michigan,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Detroit ,"3,121","3,337",329,"5,858", D , D , D , D ,"3,126","3,345",330,"5,862"
,,,,,,,,,,,,,
Minnesota,,,,,,,,,,,,,
,,,,,,,,,,,,,
,St. Paul ,"2,931","3,926",379,"4,086",12, -   , -   ,49,"2,943","3,926",379,"4,135"
,,,,,,,,,,,,,
Missouri,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Kansas City ,845,"1,163",60,"1,209",78,53, D ,84,923,"1,216",67,"1,293"
,,,,,,,,,,,,,
,St. Louis ,710,970,52,798, D , D , -   , D ,713,972,52,805
,,,,,,,,,,,,,
Montana,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Helena ,55,79, D ,82, D , -   , -   , D ,57,79, D ,85
,,,,,,,,,,,,,
Nebraska,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Omaha ,642,868,88,871, D , D , -   , D ,645,872,88,875
,,,,,,,,,,,,,
Nevada,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Las Vegas ,"1,617","1,558",191,"2,855",17, D , -   ,22,"1,634","1,565",191,"2,877"
,,,,,,,,,,,,,
,Reno ,289,257,24,450, D , D , D , D ,292,260,25,456
,,,,,,,,,,,,,
New Hampshire,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Manchester ,382,584,19,522, D , D , -   , D ,383,587,19,524
,,,,,,,,,,,,,
New Jersey,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Mount Laurel,"1,603","1,806",131,"2,539", D , D , D ,15,"1,610","1,810",132,"2,554"
,,,,,,,,,,,,,
,Newark ,"7,257","8,500",849,"10,592",23,29, D ,39,"7,280","8,529",852,"10,631"
,,,,,,,,,,,,,
New Mexico,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Albuquerque ,412,448,28,621, D ,10, D , D ,417,458,29,627
,,,,,,,,,,,,,
New York,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Albany ,564,591,58,922, D , -   , -   , D ,566,591,58,928
,,,,,,,,,,,,,
,Buffalo ,937,878,104,"1,719", D ,11, -   ,14,946,889,104,"1,733"
,,,,,,,,,,,,,
,Long Island,"4,593","5,873",499,"9,041",13, D , D ,14,"4,606","5,882",500,"9,055"
,,,,,,,,,,,,,
,New York ,"12,316","15,530","3,188","27,654",36,59,24,29,"12,352","15,589","3,212","27,683"
,,,,,,,,,,,,,
,Queens,"4,604","4,980",848,"8,460", D , D , D , D ,"4,606","4,987",850,"8,469"
,,,,,,,,,,,,,
North Carolina,,,,,,,,,,,,,
,,,,,,,,,,,,,
