Fiscal Year, Office , Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions , Pending 
2010,GRR,GREER SC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,
2010,HAR,HARTFORD CT ,"9,304","7,504","1,293","4,522",67,32,12,3,"9,371","8,841","4,525"
,,,,,,,,,,,,,
2010,HEL,HELENA MT ,281,245,17,105,9,13, -   ,1,290,275,106
,,,,,,,,,,,,,
2010,HHW,HONOLULU HI ,"3,351","2,748",266,"1,607",478,233,33,122,"3,829","3,280","1,729"
,,,,,,,,,,,,,
2010,HIA,HIALEAH FL,"11,716","10,004",746,"3,734",50,44,1,9,"11,766","10,795","3,743"
,,,,,,,,,,,,,
2010,HLG,HARLINGEN TX ,"2,439","2,032",400,995,46,24,2,6,"2,485","2,458","1,001"
,,,,,,,,,,,,,
2010,HOU,HOUSTON TX ,"20,764","17,308","1,771","8,850",155,119,15,37,"20,919","19,213","8,887"
,,,,,,,,,,,,,
2010,IMP,IMPERIAL CA,762,677,52,297,9,6, -   ,3,771,735,300
,,,,,,,,,,,,,
2010,INP,INDIANAPOLIS IN ,"3,468","3,223",248,"1,312",38,31,4,7,"3,506","3,506","1,319"
,,,,,,,,,,,,,
2010,JAC,JACKSONV'L FL ,"4,668","4,546",271,"1,979",202,181,3,65,"4,870","5,001","2,044"
,,,,,,,,,,,,,
2010,KAN,KANSAS CITY MO ,"3,372","3,116",159,"1,310",286,285,13,96,"3,658","3,573","1,406"
,,,,,,,,,,,,,
2010,KND,KENDALL FL,"10,599","8,510",744,"4,383",73,63,4,30,"10,672","9,321","4,413"
,,,,,,,,,,,,,
2010,LAW,LAWRENCE MA,"7,143","7,371",395,"2,341",32,44,3,8,"7,175","7,813","2,349"
,,,,,,,,,,,,,
2010,LOS,LOS ANGELES CA ,"40,024","33,309","2,610","19,724",235,264,36,64,"40,259","36,219","19,788"
,,,,,,,,,,,,,
2010,LOU,LOUISVILLE KY ,"2,632","2,160",120,"1,190",396,270,17,111,"3,028","2,567","1,301"
,,,,,,,,,,,,,
2010,LVG,LAS VEGAS NV ,"7,074","5,682",742,"3,164",65,60,3,20,"7,139","6,487","3,184"
,,,,,,,,,,,,,
2010,MAN,MANCHESTER NH ,"1,700","1,666",88,429,9,6, -   ,2,"1,709","1,760",431
,,,,,,,,,,,,,
2010,MEM,MEMPHIS TN ,"6,240","4,876",597,"2,810",79,60,8,22,"6,319","5,541","2,832"
,,,,,,,,,,,,,
2010,MIA,MIAMI FL ,"11,245","8,520",779,"5,214",67,7,4,31,"11,312","9,310","5,245"
,,,,,,,,,,,,,
2010,MIL,MILWAUKEE WI ,"3,785","3,570",270,"1,595",19,10, -   ,11,"3,804","3,850","1,606"
