,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,,
 Grand Total ,,,"196,936","193,454","23,995","710,425",734,959,205,"3,264","197,670","194,413","24,200","713,689"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Field Office by State6,, Field Office Code ,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,
 Illinois ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Chicago  , CHI ,"6,703","7,990",559,"22,799",16,13, D ,98,"6,719","8,003",562,"22,897"
,,,,,,,,,,,,,,
 Indiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Indianapolis  , INP ,"1,686","1,562",212,"3,764", D , D , D ,20,"1,691","1,564",213,"3,784"
,,,,,,,,,,,,,,
 Iowa ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Des Moines , DSM ,"1,062","1,217",152,"3,596", D , D , -   ,10,"1,065","1,220",152,"3,606"
,,,,,,,,,,,,,,
 Kansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Wichita , WIC ,359,170,27,949, D , D , D ,11,360,172,28,960
,,,,,,,,,,,,,,
 Kentucky ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Louisville  , LOU ,"1,166","1,014",201,"1,946",12,13, D ,39,"1,178","1,027",203,"1,985"
,,,,,,,,,,,,,,
 Louisiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, New Orleans  , NOL ,950,676,88,"4,107", D ,19, D ,36,958,695,90,"4,143"
,,,,,,,,,,,,,,
 Maine ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Portland  , POM ,270,168,18,588, -   , -   , -   , D ,270,168,18,591
,,,,,,,,,,,,,,
 Maryland ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Baltimore  , BAL ,"4,582","4,195",252,"23,098",14,11, D ,73,"4,596","4,206",254,"23,171"
,,,,,,,,,,,,,,
 Massachusetts ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Boston  , BOS ,"4,354","3,115",418,"9,297", D ,17, D ,36,"4,363","3,132",423,"9,333"
,,,,,,,,,,,,,,
, Lawrence , LAW ,"2,131","2,681",331,"5,035", D , D , D ,12,"2,134","2,688",334,"5,047"
,,,,,,,,,,,,,,
 Michigan ,,,,,,,,,,,,,,   
,,,,,,,,,,,,,,
, Detroit  , DET ,"3,777","3,645",596,"9,590", D , D , -   ,34,"3,781","3,652",596,"9,624"
,,,,,,,,,,,,,,
 Minnesota ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, St. Paul  , SPM ,"3,663","3,292",488,"18,223",11,14, D ,71,"3,674","3,306",492,"18,294"
,,,,,,,,,,,,,,
 Missouri ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Kansas City  , KAN ,"1,205","1,023",104,"2,149",16,14, D ,59,"1,221","1,037",109,"2,208"
,,,,,,,,,,,,,,
, St. Louis  , STL ,786,856,106,"1,768", D , D , -   ,21,789,858,106,"1,789"
,,,,,,,,,,,,,,
 Montana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Helena  , HEL ,99,83, D ,149, -   , D , -   , D ,99,84, D ,151
,,,,,,,,,,,,,,
 Nebraska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Omaha  , OMA ,"1,050",666,175,"2,638", D , D , D , D ,"1,052",672,180,"2,643"
,,,,,,,,,,,,,,
 Nevada ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Las Vegas  , LVG ,"1,813","1,641",219,"10,287", D , D , D ,26,"1,818","1,649",221,"10,313"
,,,,,,,,,,,,,,
, Reno  , REN ,340,448,28,603, -   , D , -   , D ,340,450,28,604
,,,,,,,,,,,,,,
