,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total,,,"244,134","226,745","25,943","518,707","1,183","2,336",235,"3,858","245,317","229,081","26,178","522,565"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,
Iowa,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Des Moines,DSM,876,853,70,"2,570",2,2, -   ,8,878,855,70,"2,578"
,,,,,,,,,,,,,,
Kansas,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Wichita,WIC,390,421,21,728, -   ,3, -   ,5,390,424,21,733
,,,,,,,,,,,,,,
Kentucky,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Louisville ,LOU,948,779,130,"1,926",6,4, -   ,20,954,783,130,"1,946"
,,,,,,,,,,,,,,
Louisiana,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,New Orleans ,NOL,"1,150",706,103,"2,509",2,15,4,12,"1,152",721,107,"2,521"
,,,,,,,,,,,,,,
Maine,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Portland ,POM,226,186,6,416, -   ,2, -   ,1,226,188,6,417
,,,,,,,,,,,,,,
Maryland,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Baltimore ,BAL,"5,439","6,633",736,"12,376",7,10,1,59,"5,446","6,643",737,"12,435"
,,,,,,,,,,,,,,
Massachusetts,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Boston ,BOS,"5,212","5,381",891,"9,656",4,4, -   ,22,"5,216","5,385",891,"9,678"
,,,,,,,,,,,,,,
,Lawrence,LAW,"2,500","2,667",356,"4,681",2,5, -   ,12,"2,502","2,672",356,"4,693"
,,,,,,,,,,,,,,
Michigan,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Detroit ,DET,"3,858","3,287",598,"7,576", -   , -   , -   ,24,"3,858","3,287",598,"7,600"
,,,,,,,,,,,,,,
Minnesota,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,St. Paul ,SPM,"3,426","2,227",175,"10,360",3,10, -   ,28,"3,429","2,237",175,"10,388"
