,,, Applications Received2 , Approved3 , Denied4 , Pending5 , Applications Received2 , Approved3 , Denied4 , Pending5 , Applications Received2 , Approved3 , Denied4 , Pending5 
,,,,,,,,,,,,,,
 Total ,,,"218,248","174,984","22,599","747,383",661,420,76,"5,969","218,909","175,404","22,675","753,352"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Field Office by State6 ,, Field Office Code ,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,
, Boise  , BOI ,503,493,41,872, D , D , D , D ,508,499,42,880
,,,,,,,,,,,,,,
 Illinois ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Chicago  , CHI ,"7,645","5,935",478,"27,087",23,18, D ,151,"7,668","5,953",479,"27,238"
,,,,,,,,,,,,,,
 Indiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Indianapolis  , INP ,"1,827","1,467",156,"3,315", D , D , -   ,28,"1,833","1,471",156,"3,343"
,,,,,,,,,,,,,,
 Iowa ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Des Moines , DSM ,970,"1,114",78,"3,658", D , D , -   ,15,971,"1,116",78,"3,673"
,,,,,,,,,,,,,,
 Kansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Wichita , WIC ,436,243,46,"1,333", D , D , -   ,19,437,245,46,"1,352"
,,,,,,,,,,,,,,
 Kentucky ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Louisville  , LOU ,"1,162",973,160,"2,320", D , D , D ,66,"1,170",977,161,"2,386"
,,,,,,,,,,,,,,
 Louisiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, New Orleans  , NOL ,981,725,83,"4,032",12,11, D ,53,993,736,84,"4,085"
,,,,,,,,,,,,,,
 Maine ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Portland  , POM ,277,171, D ,567, D , D , -   , D ,278,172, D ,575
,,,,,,,,,,,,,,
 Maryland ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Baltimore  , BAL ,"5,303","2,867",250,"20,348", D , D , D ,137,"5,312","2,868",251,"20,485"
,,,,,,,,,,,,,,
 Massachusetts ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Boston  , BOS ,"4,656","3,927",369,"10,285",12, D , D ,59,"4,668","3,930",370,"10,344"
,,,,,,,,,,,,,,
, Lawrence , LAW ,"2,102","1,724",357,"4,398", D , -   , -   ,29,"2,103","1,724",357,"4,427"
,,,,,,,,,,,,,,
 Michigan ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
