,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,Baltimore ,"4,398","3,933",323,"12,582", D , D , -   ,25,"4,407","3,940",323,"12,607"
,,,,,,,,,,,,,
Massachusetts,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Boston ,"3,791","4,037",290,"8,369", D , D , D ,29,"3,798","4,042",291,"8,398"
,,,,,,,,,,,,,
,Lawrence,"1,782","1,976",163,"3,306", D , -   , D ,14,"1,786","1,976",164,"3,320"
,,,,,,,,,,,,,
Michigan,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Detroit ,"3,025","2,989",326,"5,297", D , D , -   ,22,"3,030","2,991",326,"5,319"
,,,,,,,,,,,,,
Minnesota,,,,,,,,,,,,,
,,,,,,,,,,,,,
,St. Paul ,"2,981","3,875",270,"3,999", D ,16, D ,11,"2,987","3,891",272,"4,010"
,,,,,,,,,,,,,
Missouri,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Kansas City ,950,"1,039",48,"1,338",51,35, D ,82,"1,001","1,074",52,"1,420"
,,,,,,,,,,,,,
,St. Louis ,793,713,68,"1,247", D , D , -   , D ,797,717,68,"1,253"
,,,,,,,,,,,,,
Montana,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Helena ,48,76, D ,64, D , D , -   , D ,49,77, D ,66
,,,,,,,,,,,,,
Nebraska,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Omaha ,738,796,70,"1,046", -   , D , -   , D ,738,798,70,"1,048"
,,,,,,,,,,,,,
Nevada,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Las Vegas ,"1,704","1,432",225,"3,370",13, D , D ,17,"1,717","1,439",227,"3,387"
,,,,,,,,,,,,,
,Reno ,280,287,67,522, -   , D , -   , D ,280,289,67,523
,,,,,,,,,,,,,
New Hampshire,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Manchester ,392,481,19,513, -   , -   , -   , D ,392,481,19,515
,,,,,,,,,,,,,
