,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
Massachusetts,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Boston ,"3,702","2,677",311,"8,471", D ,10, D ,15,"3,711","2,687",312,"8,486"
,,,,,,,,,,,,,
,Lawrence,"1,635","1,152",168,"3,849", D , D , -   ,12,"1,641","1,153",168,"3,861"
,,,,,,,,,,,,,
Michigan,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Detroit ,"3,026","3,035",342,"5,884", D , D , D ,15,"3,031","3,037",344,"5,899"
,,,,,,,,,,,,,
Minnesota,,,,,,,,,,,,,
,,,,,,,,,,,,,
,St. Paul ,"2,680","1,238",204,"5,389",11, D , D ,18,"2,691","1,241",205,"5,407"
,,,,,,,,,,,,,
Missouri,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Kansas City ,802,582,44,"1,523",62,38, D ,80,864,620,45,"1,603"
,,,,,,,,,,,,,
,St. Louis ,671,369,61,"1,511", D , D , -   , D ,672,371,61,"1,519"
,,,,,,,,,,,,,
Montana,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Helena ,52,43, D ,70, -   , D , -   , D ,52,44, D ,71
,,,,,,,,,,,,,
Nebraska,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Omaha ,688,555,59,"1,044", D , D , -   , D ,689,557,59,"1,045"
,,,,,,,,,,,,,
Nevada,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Las Vegas ,"1,537","1,937",195,"2,815", D , D , D ,18,"1,544","1,946",197,"2,833"
,,,,,,,,,,,,,
,Reno ,239,308,52,400, D , -   , -   , D ,240,308,52,401
,,,,,,,,,,,,,
New Hampshire,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Manchester ,372,299,10,574, D , -   , -   , D ,375,299,10,577
,,,,,,,,,,,,,
New Jersey,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Mount Laurel,"1,538","1,399",135,"2,480", D , D , D , D ,"1,541","1,401",136,"2,484"
,,,,,,,,,,,,,
,Newark ,"6,907","6,437",580,"12,509", D ,16, D ,16,"6,914","6,453",581,"12,525"
,,,,,,,,,,,,,
New Mexico,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Albuquerque ,369,317,25,576, D , D , -   , D ,375,325,25,582
,,,,,,,,,,,,,
New York,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Albany ,518,393,46,"1,036", D , -   , -   , D ,520,393,46,"1,039"
,,,,,,,,,,,,,
,Buffalo ,"1,108","1,351",145,"2,050",10,17, D ,18,"1,118","1,368",146,"2,068"
,,,,,,,,,,,,,
,Long Island,"4,113","3,416",250,"11,651", D ,12, D ,34,"4,116","3,428",256,"11,685"
,,,,,,,,,,,,,
,New York ,"11,222","11,115","1,566","29,151",23,26,15,30,"11,245","11,141","1,581","29,181"
,,,,,,,,,,,,,
,Queens,"4,222","3,526",397,"10,489", D , D , -   ,14,"4,230","3,529",397,"10,503"
,,,,,,,,,,,,,
North Carolina,,,,,,,,,,,,,
