,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total,,,"238,062","111,155","18,530","632,937","1,566","1,485",170,"3,227","239,628","112,640","18,700","636,164"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Indianapolis ,INP,"1,506",793,86,"3,196",2,3, -   ,8,"1,508",796,86,"3,204"
,,,,,,,,,,,,,,
Iowa,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Des Moines,DSM,975,611,82,"2,794",4,3, -   ,10,979,614,82,"2,804"
,,,,,,,,,,,,,,
Kansas,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Wichita,WIC,361,177,29,888, -   ,6, -   , -   ,361,183,29,888
,,,,,,,,,,,,,,
Kentucky,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Louisville ,LOU,"1,032",427,62,"2,591",7,4,1,24,"1,039",431,63,"2,615"
,,,,,,,,,,,,,,
Louisiana,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,New Orleans ,NOL,"1,046",384,63,"3,114",4,14,2,23,"1,050",398,65,"3,137"
,,,,,,,,,,,,,,
Maine,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Portland ,POM,245,228,5,416,1,1, -   ,1,246,229,5,417
,,,,,,,,,,,,,,
Maryland,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Baltimore ,BAL,"5,758","2,928",384,"15,357",12,14, -   ,35,"5,770","2,942",384,"15,392"
,,,,,,,,,,,,,,
Massachusetts,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Boston ,BOS,"5,242","2,210",410,"12,415",4,3, -   ,15,"5,246","2,213",410,"12,430"
,,,,,,,,,,,,,,
,Lawrence,LAW,"2,119",976,176,"5,656",6,4, -   ,15,"2,125",980,176,"5,671"
,,,,,,,,,,,,,,
Michigan,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Detroit ,DET,"3,755","1,816",217,"9,721",4,1, -   ,6,"3,759","1,817",217,"9,727"
,,,,,,,,,,,,,,
Minnesota,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,St. Paul ,SPM,"3,551","2,116",233,"11,568",5,8, -   ,25,"3,556","2,124",233,"11,593"
,,,,,,,,,,,,,,
Missouri,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Kansas City ,KAN,"1,228",649,53,"3,140",87,109,4,79,"1,315",758,57,"3,219"
,,,,,,,,,,,,,,
,St. Louis ,STL,912,650,251,"2,551",4, -   , -   ,11,916,650,251,"2,562"
,,,,,,,,,,,,,,
Montana,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Helena ,HEL,98,59, -   ,180, -   , -   , -   , -   ,98,59, -   ,180
,,,,,,,,,,,,,,
Nebraska,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Omaha ,OMA,896,493,106,"2,031",3,5,2,3,899,498,108,"2,034"
,,,,,,,,,,,,,,
Nevada,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Las Vegas ,LVG,"2,269","1,112",242,"6,595",4,1, -   ,18,"2,273","1,113",242,"6,613"
,,,,,,,,,,,,,,
,Reno ,REN,374,217,20,911, -   , -   , -   ,3,374,217,20,914
,,,,,,,,,,,,,,
New Hampshire,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Manchester ,MAN,453,326,18,"1,030",1, -   , -   ,6,454,326,18,"1,036"
,,,,,,,,,,,,,,
New Jersey,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Mount Laurel,MTL,"2,193","1,447",81,"5,311",7,3,1,16,"2,200","1,450",82,"5,327"
,,,,,,,,,,,,,,
,Newark ,NEW,"9,758","4,782",859,"26,655",10,20,2,26,"9,768","4,802",861,"26,681"
,,,,,,,,,,,,,,
New Mexico,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Albuquerque ,ABQ,640,340,22,"1,441",2,3,3,4,642,343,25,"1,445"
,,,,,,,,,,,,,,
New York,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Albany ,ALB,689,239,29,"1,931", -   ,5, -   ,3,689,244,29,"1,934"
,,,,,,,,,,,,,,
,Buffalo ,BUF,"1,257",723,102,"3,256",4,7, -   ,26,"1,261",730,102,"3,282"
,,,,,,,,,,,,,,
,Long Island,LNY,"6,283","2,696",558,"17,627",7,3, -   ,19,"6,290","2,699",558,"17,646"
,,,,,,,,,,,,,,
,New York ,NYC,"15,897","9,694","2,161","45,239",16,31,3,51,"15,913","9,725","2,164","45,290"
,,,,,,,,,,,,,,
,Queens,QNS,"5,725","2,739",772,"15,202",3,7, -   ,9,"5,728","2,746",772,"15,211"
,,,,,,,,,,,,,,
North Carolina,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Charlotte ,CLT,"2,063",985,127,"5,081",4, -   , -   ,6,"2,067",985,127,"5,087"
,,,,,,,,,,,,,,
,Raleigh,RAL,"1,860",967,54,"4,047",21,17,1,75,"1,881",984,55,"4,122"
,,,,,,,,,,,,,,
Ohio,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Cincinnati ,CIN,767,420,52,"1,718",3,3, -   ,10,770,423,52,"1,728"
,,,,,,,,,,,,,,
,Cleveland ,CLE,"1,118",512,64,"2,534",2,3, -   ,8,"1,120",515,64,"2,542"
,,,,,,,,,,,,,,
,Columbus,CLM,"1,300",675,82,"2,954",1,2, -   ,5,"1,301",677,82,"2,959"
,,,,,,,,,,,,,,
Oklahoma,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Oklahoma City ,OKC,"1,031",238,51,"2,777",54,104,3,64,"1,085",342,54,"2,841"
,,,,,,,,,,,,,,
Oregon,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Portland ,POO,"2,200",999,85,"5,028",3,4, -   ,5,"2,203","1,003",85,"5,033"
,,,,,,,,,,,,,,
Pennsylvania,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Philadelphia,PHI,"5,042","2,847",393,"13,345",12,4, -   ,39,"5,054","2,851",393,"13,384"
,,,,,,,,,,,,,,
,Pittsburgh ,PIT,766,397,22,"1,860",2,3, -   ,3,768,400,22,"1,863"
,,,,,,,,,,,,,,
Rhode Island,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Providence ,PRO,948,423,99,"2,189",7, -   , -   ,9,955,423,99,"2,198"
,,,,,,,,,,,,,,
South Carolina,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Charleston ,CHL,628,202,43,"1,930",392,136,13,335,"1,020",338,56,"2,265"
,,,,,,,,,,,,,,
,Greer,GRR,429,253,20,704,1,107,22,487,430,360,42,"1,191"
,,,,,,,,,,,,,,
