,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,New Orleans ,NOL,909,893,133,"1,544",15,25,1,28,924,918,134,"1,572"
,,,,,,,,,,,,,,
Maine,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Portland ,POM,313,249,7,430,1,2, -   ,3,314,251,7,433
,,,,,,,,,,,,,,
Maryland,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Baltimore ,BAL,"4,678","4,718",265,"12,503",13,4, -   ,34,"4,691","4,722",265,"12,537"
,,,,,,,,,,,,,,
Massachusetts,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Boston ,BOS,"4,049","3,837",354,"8,042",3,8,4,5,"4,052","3,845",358,"8,047"
,,,,,,,,,,,,,,
,Lawrence,LAW,"1,879","1,854",151,"3,737",4,2, -   ,13,"1,883","1,856",151,"3,750"
,,,,,,,,,,,,,,
Michigan,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Detroit ,DET,"3,690","3,233",329,"6,877",7,2,1,17,"3,697","3,235",330,"6,894"
,,,,,,,,,,,,,,
Minnesota,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,St. Paul ,SPM,"3,465","2,300",224,"6,333",5,5, -   ,22,"3,470","2,305",224,"6,355"
,,,,,,,,,,,,,,
Missouri,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Kansas City ,KAN,"1,148",872,31,"1,771",66,40,6,106,"1,214",912,37,"1,877"
,,,,,,,,,,,,,,
,St. Louis ,STL,888,519,41,"1,847",2,1, -   ,5,890,520,41,"1,852"
,,,,,,,,,,,,,,
Montana,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Helena ,HEL,93,52, -   ,110,4, -   , -   ,4,97,52, -   ,114
,,,,,,,,,,,,,,
Nebraska,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Omaha ,OMA,799,635,52,"1,169", -   , -   , -   ,5,799,635,52,"1,174"
,,,,,,,,,,,,,,
Nevada,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
