USCIS Field Office or Service Center Location,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,
Massachusetts,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Boston ,"3,303","2,810",415,"8,505", D ,19, -   ,21,"3,308","2,829",415,"8,526"
,,,,,,,,,,,,,
,Lawrence,"1,403","1,470",137,"2,933", D , D , -   , D ,"1,404","1,471",137,"2,936"
,,,,,,,,,,,,,
Michigan,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Detroit ,"2,903","2,886",376,"5,000", D , D , -   , D ,"2,908","2,889",376,"5,005"
,,,,,,,,,,,,,
Minnesota,,,,,,,,,,,,,
,,,,,,,,,,,,,
,St. Paul ,"2,429","1,462",245,"4,892",11, -   , -   ,12,"2,440","1,462",245,"4,904"
,,,,,,,,,,,,,
Missouri,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Kansas City ,736,673,82,"1,165",58,53, D ,87,794,726,86,"1,252"
,,,,,,,,,,,,,
,St. Louis ,609,566,45,"1,053", -   , D , -   , D ,609,570,45,"1,058"
,,,,,,,,,,,,,
Montana,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Helena ,62,70, D ,70, D , D , D , D ,63,71, D ,73
,,,,,,,,,,,,,
Nebraska,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Omaha ,558,629,71,736, D , D , -   , D ,563,634,71,741
,,,,,,,,,,,,,
Nevada,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Las Vegas ,"1,523","1,871",169,"2,376",10,11, D ,30,"1,533","1,882",170,"2,406"
,,,,,,,,,,,,,
,Reno ,221,330,51,304, D , D , D , D ,222,331,52,307
,,,,,,,,,,,,,
New Hampshire,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Manchester ,297,294,26,458, D , D , -   , -   ,298,297,26,458
,,,,,,,,,,,,,
New Jersey,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Mount Laurel,"1,474","1,400",106,"2,567", D ,10, D , D ,"1,477","1,410",107,"2,573"
,,,,,,,,,,,,,
,Newark ,"6,688","4,345",948,"12,255",15,16, -   ,34,"6,703","4,361",948,"12,289"
,,,,,,,,,,,,,
New Mexico,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Albuquerque ,349,457,53,469, D , D , D , D ,351,460,54,477
,,,,,,,,,,,,,
New York,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Albany ,460,410,39,826, D , -   , -   , D ,461,410,39,829
,,,,,,,,,,,,,
,Buffalo ,765,788,98,"1,625", D , D , -   ,19,769,794,98,"1,644"
,,,,,,,,,,,,,
,Long Island,"3,997","3,517",285,"8,786",10, D , D ,29,"4,007","3,525",287,"8,815"
,,,,,,,,,,,,,
,New York ,"10,597","11,601","2,023","24,840",21,52,30,26,"10,618","11,653","2,053","24,866"
,,,,,,,,,,,,,
,Queens,"3,912","4,003",629,"7,506", D ,10, D ,14,"3,917","4,013",630,"7,520"
,,,,,,,,,,,,,
