code,fy,year,field_office,state,nationality
SPO,FY 2017,8067.0,Spokane,Washington,US
SPO,FY 2018,8071.0,Spokane,Washington,US
SPO,FY 2019,4037.0,Spokane,Washington,US
SPO,FY 2020,0.0,Spokane,Washington,US
YAK,FY 2013,2013.0,Yakima,Washington,US
YAK,FY 2014,8055.0,Yakima,Washington,US
YAK,FY 2015,8059.0,Yakima,Washington,US
YAK,FY 2016,8063.0,Yakima,Washington,US
YAK,FY 2017,8067.0,Yakima,Washington,US
YAK,FY 2018,8071.0,Yakima,Washington,US
YAK,FY 2019,4037.0,Yakima,Washington,US
YAK,FY 2020,0.0,Yakima,Washington,US
CHS,FY 2013,2013.0,Charleston,West Virginia,US
CHS,FY 2014,8055.0,Charleston,West Virginia,US
CHS,FY 2015,8059.0,Charleston,West Virginia,US
CHS,FY 2016,8063.0,Charleston,West Virginia,US
CHS,FY 2017,10084.0,Charleston,West Virginia,US
CHS,FY 2018,16142.0,Charleston,West Virginia,US
CHS,FY 2019,8074.0,Charleston,West Virginia,US
CHS,FY 2020,0.0,Charleston,West Virginia,US
MIL,FY 2013,2013.0,Milwaukee,Wisconsin,US
MIL,FY 2014,8055.0,Milwaukee,Wisconsin,US
MIL,FY 2015,8059.0,Milwaukee,Wisconsin,US
MIL,FY 2016,8063.0,Milwaukee,Wisconsin,US
MIL,FY 2017,8067.0,Milwaukee,Wisconsin,US
MIL,FY 2018,8071.0,Milwaukee,Wisconsin,US
MIL,FY 2019,4037.0,Milwaukee,Wisconsin,US
MIL,FY 2020,0.0,Milwaukee,Wisconsin,US
