"Number of N-400 Applications for Naturalization by Category of Naturalization,  Case Status, and USCIS Field Office Location",,,,,,,,,,,,,
"  January  1 - March  31, 2014 ",,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status
,,Naturalization1,Naturalization1,Naturalization1,Naturalization1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Total,Total,Total,Total
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,
Total,,"199,392","149,304","16,419","330,885","2,651","2,174",247,"3,472","202,043","151,478","16,666","334,357"
,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,
Nevada,,,,,,,,,,,,,
,Las Vegas ,"2,046","1,582",147,"2,711", D ,10, D ,28,"2,052","1,592",152,"2,739"
,Reno ,363,174,68,434, D , D , -   , D ,364,177,68,436
New Hampshire,,,,,,,,,,,,,
,Manchester ,404,295,23,492, -   , -   , -   , D ,404,295,23,493
New Jersey,,,,,,,,,,,,,
,Mount Laurel,"1,771","1,781",98,"2,473", D , D , D , D ,"1,776","1,784",99,"2,481"
,Newark ,"8,011","5,982",570,"13,871", D ,21, D ,17,"8,020","6,003",575,"13,888"
New Mexico,,,,,,,,,,,,,
,Albuquerque ,528,266,38,705, D , D , -   , D ,537,272,38,712
New York,,,,,,,,,,,,,
,Albany ,630,534,24,897, -   , -   , -   , D ,630,534,24,900
,Buffalo ,"1,139",817,100,"1,907", D ,13, D ,13,"1,146",830,101,"1,920"
,Long Island,"4,872","3,550",452,"9,727", D ,15, D ,20,"4,876","3,565",456,"9,747"
,New York ,"12,124","11,913","1,837","23,594",24,16,22,16,"12,148","11,929","1,859","23,610"
,Queens,"4,181","3,579",674,"7,677", D , D , D ,18,"4,187","3,585",677,"7,695"
North Carolina,,,,,,,,,,,,,
,Charlotte ,"1,679","1,304",125,"1,919", D , D , -   , D ,"1,688","1,307",125,"1,926"
,Raleigh,"1,497","1,348",58,"2,194",35,99, D ,50,"1,532","1,447",60,"2,244"
Ohio,,,,,,,,,,,,,
,Cincinnati ,626,541,45,830, D , -   , -   , D ,630,541,45,837
,Cleveland ,983,785,62,"1,150", D , D , -   , D ,986,786,62,"1,152"
,Columbus,"1,018",740,70,"1,148", D , D , -   , D ,"1,019",742,70,"1,150"
Oklahoma,,,,,,,,,,,,,
,Oklahoma City ,760,501,52,"1,558",443,317, D ,483,"1,203",818,54,"2,041"
Oregon,,,,,,,,,,,,,
,Portland ,"1,883","1,009",80,"3,756", D , D , D , D ,"1,886","1,012",81,"3,762"
Pennsylvania,,,,,,,,,,,,,
,Philadelphia,"4,213","2,532",472,"7,055",12, D , D , D ,"4,225","2,541",473,"7,064"
,Pittsburgh ,722,658,35,"1,010", D , D , -   , D ,725,660,35,"1,017"
Rhode Island,,,,,,,,,,,,,
,Providence ,786,491,62,"1,197", D , D , -   , D ,793,498,62,"1,202"
South Carolina,,,,,,,,,,,,,
,Charleston ,870,869,72,"1,164",785,295,38,676,"1,655","1,164",110,"1,840"
Tennessee,,,,,,,,,,,,,
,Memphis ,"1,706","1,480",97,"2,794", D , D , -   , D ,"1,715","1,487",97,"2,802"
Texas,,,,,,,,,,,,,
,Dallas ,"6,295","4,009",416,"11,561",18,37, D ,33,"6,313","4,046",417,"11,594"
,El Paso ,"1,229","1,135",80,"1,720",10,33, D ,32,"1,239","1,168",81,"1,752"
,Harlingen ,963,760,58,"1,590", D , D , -   , D ,964,765,58,"1,595"
,Houston ,"7,550","4,320",378,"10,671", D , D , D ,20,"7,559","4,328",381,"10,691"
,San Antonio ,"2,862","1,809",199,"4,813",89,113,15,54,"2,951","1,922",214,"4,867"
Utah,,,,,,,,,,,,,
,Salt Lake City ,"1,199",924,113,"1,997", D , D , D , D ,"1,206",931,114,"2,002"
Vermont,,,,,,,,,,,,,
,St. Albans ,178,124, D ,232, -   , -   , -   , D ,178,124, D ,234
Virginia,,,,,,,,,,,,,
,Norfolk ,"1,239","1,025",55,"1,901",41,200,53,213,"1,280","1,225",108,"2,114"
Washington,,,,,,,,,,,,,
,Seattle ,"3,804","2,289",322,"5,459",19,31, -   ,43,"3,823","2,320",322,"5,502"
,Spokane ,218,184,24,288, D , D , -   , D ,219,185,24,290
,Yakima,422,328,10,465, D , D , -   , D ,423,329,10,468
Wisconsin,,,,,,,,,,,,,
,Milwaukee ,"1,049",816,91,"1,412", D , D , -   , D ,"1,050",820,91,"1,416"
,,,,,,,,,,,,,
Field Office by Territory6,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,
,Hagatna,217,169,16,259, D , D , -   , D ,221,171,16,266
U.S. Virgin Islands,,,,,,,,,,,,,
,Charlotte Amalie,123,92, D ,157, D , -   , -   , -   ,126,92, D ,157
,Christiansted ,45,22, D ,75, -   , -   , -   , D ,45,22, D ,76
Puerto Rico,,,,,,,,,,,,,
,San Juan ,553,543,53,"1,409", D , -   , -   , D ,554,543,53,"1,411"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,
"""-"" Represents zero.",,,,,,,,,,,,,
"1  ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other N-400 naturalizations are included in ""Naturalization.""",,,,,,,,,,,,,
 Total includes both general and military naturalization. ,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,
            2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS),  March 2014",,,,,,,,,,,,,
