USCIS Field Office or Service Center Location,,,Applications by Category and Case Status,,,,,,,,,,,
,,,Naturalization1,Naturalization1,Naturalization1,Naturalization1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Total,Total,Total,Total
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,,
Total,,,"185,466","155,129","19,051","384,850","2,169","1,850",139,"3,982","187,635","156,979","19,190","388,832"
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
,Lawrence,LAW,"1,864",983,212,"3,879", D , D , -   , D ,"1,867",985,212,"3,885"
Michigan,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Detroit ,DET,"3,431","2,965",404,"6,683", D , D , -   ,12,"3,436","2,967",404,"6,695"
Minnesota,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,St. Paul ,SPM,"2,992","2,242",260,"7,913", D ,11, -   ,26,"3,000","2,253",260,"7,939"
Missouri,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Kansas City ,KAN,946,"1,072",39,"1,497",85,62, D ,75,"1,031","1,134",46,"1,572"
,St. Louis ,STL,704,365,44,"2,020", -   , -   , -   ,10,704,365,44,"2,030"
Montana,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Helena ,HEL,72,74, D ,115, D , D , -   , D ,74,76, D ,116
Nebraska,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Omaha ,OMA,768,651,89,"1,368", D , D , -   , D ,770,653,89,"1,374"
Nevada,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Las Vegas ,LVG,"1,801","1,379",187,"3,797", D , D , D ,10,"1,806","1,384",188,"3,807"
,Reno ,REN,291,238,29,524, D , -   , -   , D ,292,238,29,526
New Hampshire,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Manchester ,MAN,327,360,19,535, D , -   , -   , D ,328,360,19,538
New Jersey,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Mount Laurel,MTL,"1,657","1,348",151,"3,107", -   , D , -   , D ,"1,657","1,349",151,"3,112"
,Newark ,NEW,"8,002","7,177",673,"15,251", D ,19, D ,17,"8,007","7,196",675,"15,268"
