,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category and Case Status ,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,, Total ,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 Grand Total ,,," 189,410 "," 174,109 "," 21,957 "," 727,740 ", 648 ," 1,141 ", 227 ," 4,093 "," 190,058 "," 175,250 "," 22,184 "," 731,833 "
,,,,,,,,,,,,,,
Field Office by State6,, Field Office Code ,,,,,,,,,,,,
, Boise  , BOI , 388 , 459 , 50 , 644 , -   , D , D , D , 388 , 461 , 51 , 648 
 Illinois ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Chicago  , CHI ," 6,831 "," 7,961 ", 859 ," 24,592 ", 26 , 21 , D , 113 ," 6,857 "," 7,982 ", 860 ," 24,705 "
 Indiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Indianapolis  , INP ," 1,468 "," 1,501 ", 163 ," 3,798 ", D , D , D , 16 ," 1,469 "," 1,506 ", 164 ," 3,814 "
 Iowa ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Des Moines , DSM , 901 , 653 , 61 ," 3,875 ", D , D , D , 13 , 902 , 661 , 62 ," 3,888 "
 Kansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Wichita , WIC , 326 , 318 , 35 , 784 , D , D , -   , 15 , 327 , 321 , 35 , 799 
 Kentucky ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Louisville  , LOU ," 1,083 "," 1,280 ", 163 ," 1,944 ", D , 10 , D , 34 ," 1,085 "," 1,290 ", 166 ," 1,978 "
 Louisiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, New Orleans  , NOL , 841 , 690 , 79 ," 3,951 ", 10 , 13 , -   , 46 , 851 , 703 , 79 ," 3,997 "
 Maine ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Portland  , POM , 271 , 166 , 11 , 499 , D , D , D , D , 273 , 168 , 12 , 502 
 Maryland ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
