"U.S. Citizenship and Immigration Services
Field Offices Form N-400 Applications for Naturalization Receipts, Completions and Pending
Fiscal Years: 2010 through 2013 (November 2012)",,,,,,,,,,,,,
,,, N-400 Non-Military , N-400 Non-Military , N-400 Non-Military , N-400 Non-Military ,N-400 Military,N-400 Military,N-400 Military,N-400 Military, Total Naturalization Applications  , Total Naturalization Applications  , Total Naturalization Applications  
Fiscal Year, Office , Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions , Pending 
2012,PIT,PITTSBURGH PA ,"2,553","2,417",144,670,17,11,3,8,"2,570","2,575",678
2012,POM,PORTLAND ME ,"1,072",939,29,390,4,10,1,1,"1,076",979,391
2012,POO,PORTLAND OR ,"8,025","6,889",413,"3,079",28,25,2,17,"8,053","7,329","3,096"
2012,PRO,PROVIDENCE RI ,"3,597","2,893",413,"1,440",10,13,1,5,"3,607","3,320","1,445"
2012,QNS,QUEENS NY,"19,890","13,487","1,068","14,282", -   ,38,9,8,"19,890","14,602","14,290"
2012,RAL,RALEIGH NC,"6,104","5,716",280,"1,799",294,229,26,200,"6,398","6,251","1,999"
2012,REN,RENO NV ,"1,304","1,096",119,451,10,11, -   ,3,"1,314","1,226",454
2012,SAA,SANTA ANA CA,"15,908","15,498","1,490","6,714",38,31,2,21,"15,946","17,021","6,735"
2012,SAC,SACRAMENTO CA ,"16,576","17,399","1,393","4,390",52,65,34,10,"16,628","18,891","4,400"
2012,SAJ,SAN JUAN PR ,"2,672","2,192",106,"1,071",3,5, -   , -   ,"2,675","2,303","1,071"
2012,SBD,SAN BERNADINO CA,"14,161","13,370","1,128","6,390",106,129,21,20,"14,267","14,648","6,410"
2012,SEA,SEATTLE WA ,"15,858","14,032",989,"4,409",140,187,3,37,"15,998","15,211","4,446"
2012,SFR,SAN FRAN. CA ,"25,105","21,019","1,768","10,018",61,59,13,15,"25,166","22,859","10,033"
2012,SFV,SAN FERNANDO VALLEY CA,"16,069","14,949",830,"6,916",54,63,12,13,"16,123","15,854","6,929"
2012,SLC,SALT LAKE CITY UT ,"4,079","3,856",292,"1,324",25,19,1,6,"4,104","4,168","1,330"
2012,SNA,SAN ANTONIO TX ,"10,844","9,355",849,"4,333",468,536,78,109,"11,312","10,818","4,442"
2012,SND,SAN DIEGO CA ,"6,526","6,048",212,"2,308",361,331,15,126,"6,887","6,606","2,434"
2012,SNJ,SAN JOSE CA ,"16,702","14,397","1,115","4,949",37,35,2,14,"16,739","15,549","4,963"
2012,SPM,ST PAUL MN ,"14,251","13,433","1,283","4,575",59,38,16,42,"14,310","14,770","4,617"
2012,SPO,SPOKANE WA ,934,888,36,322,16,11, -   ,7,950,935,329
2012,STA,ST ALBANS VT ,538,584,31,192,3,5,1, -   ,541,621,192
2012,STL,ST LOUIS MO ,"3,044","2,820",180,"1,050",10,14, -   ,3,"3,054","3,014","1,053"
2012,TAM,TAMPA FL ,"16,450","13,383",834,"6,819",52,58,1,24,"16,502","14,276","6,843"
2012,TUC,TUCSON AZ/SUB ,"2,822","2,771",338,"1,077",26,38,1,13,"2,848","3,148","1,090"
2012,WAS,WASHINGTON DC ,"21,636","21,486","2,225","9,720",309,85,18,99,"21,945","23,814","9,819"
2012,WIC,WICHITA KS,"1,285","1,133",83,613,9,10,1,4,"1,294","1,227",617
2012,WPB,WEST PALM BEACH FL,"14,018","8,997","1,133","6,594",20,12,6,7,"14,038","10,148","6,601"
2012,YAK,YAKIMA WA,"1,490","1,411",110,329,1,5, -   ,2,"1,491","1,526",331
2012 YTD Total,,,"889,728","754,558","65,024","387,313","9,434","8,184",850,"3,005","899,162","828,616","390,318"
2013,ABQ,ALBUQUERQUE NM ,266,252,6,673,2,1, -   ,7,268,259,680
2013,AGA,AGANA GUAM ,124,171,9,271,1,3, -   ,6,125,183,277
2013,ALB,ALBANY NY ,308,266,22,877, -   , -   , -   ,6,308,288,883
2013,ANC,ANCHORAGE AK ,202,193,34,485,7,9, -   ,15,209,236,500
2013,ATL,ATLANTA GA ,"3,023","2,043",275,"10,451",84,61,15,214,"3,107","2,394","10,665"
2013,BAL,BALTIMORE MD ,"2,758","3,009",244,"9,846",12,13,3,25,"2,770","3,269","9,871"
2013,BOI,BOISE ID ,201,218,25,430,1,2, -   ,5,202,245,435
2013,BOS,BOSTON MA ,"2,849","2,018",170,"8,351",4,4,1,17,"2,853","2,193","8,368"
2013,BUF,BUFFALO NY ,536,567,65,"1,459",5,17, -   ,28,541,649,"1,487"
2013,CHA,CHARLOTTE AMALIE ,84,61,10,144,1, -   , -   ,2,85,71,146
2013,CHI,CHICAGO IL ,"4,302","3,557",193,"13,357",212,178, -   ,241,"4,514","3,928","13,598"
2013,CHL,CHARLESTON SC ,464,592,60,"1,633",448,220,12,508,912,884,"2,141"
2013,CHR,CHRISTIANSTED VI ,49,43,5,102,1,1, -   ,3,50,49,105
2013,CHS,CHARLESTON WV, -   , -   ,2,7, -   , -   , -   , -   , -   ,2,7
2013,CIN,CINCINNATI OH ,342,397,27,834,2, -   , -   ,4,344,424,838
2013,CLE,CLEVELAND OH ,527,700,41,"1,213",3,4,1,6,530,746,"1,219"
2013,CLM,COLUMBUS OH,620,"1,000",77,"1,314",1,1,2,1,621,"1,080","1,315"
2013,CLT,CHARLOTTE NC ,962,"1,137",96,"2,872",1,2, -   ,5,963,"1,235","2,877"
2013,CVC,CHULA VISTA CA,"1,374","1,399",83,"3,025",8,15,1,24,"1,382","1,498","3,049"
2013,DAL,DALLAS TX ,"3,093","3,047",254,"8,063",8,21,2,30,"3,101","3,324","8,093"
2013,DEN,DENVER CO ,"1,232","1,336",163,"2,766",14,15,1,40,"1,246","1,515","2,806"
2013,DET,DETROIT MI ,"2,086","2,157",209,"5,684",4,2, -   ,17,"2,090","2,368","5,701"
2013,DSM,DES MOINES IA,356,310,22,958,1, -   , -   ,1,357,332,959
2013,DVD,DOVER DE AFB , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2013,ELP,EL PASO TX ,584,619,88,"1,846",9,29,1,35,593,737,"1,881"
2013,FRE,FRESNO CA ,"1,391","1,474",179,"4,149",7,6,1,14,"1,398","1,660","4,163"
2013,FSA,FORT SMITH AR ,147,217,15,458, -   , -   , -   ,4,147,232,462
2013,GCU,GARDEN CITY NY, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2013,GRR,GREER SC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2013,HAR,HARTFORD CT ,"1,381","1,496",330,"5,034",7, -   , -   ,4,"1,388","1,826","5,038"
2013,HEL,HELENA MT ,35,48,4,91, -   , -   , -   ,1,35,52,92
2013,HHW,HONOLULU HI ,561,576,39,"1,625",40,28,5,100,601,648,"1,725"
2013,HIA,HIALEAH FL,"2,693","3,428",312,"8,585",3,6,2,8,"2,696","3,748","8,593"
2013,HLG,HARLINGEN TX ,433,443,74,"1,441",3,1, -   ,15,436,518,"1,456"
2013,HOU,HOUSTON TX ,"3,352","4,301",254,"10,325",4,13,2,18,"3,356","4,570","10,343"
2013,IMP,IMPERIAL CA,718,491,47,"1,817", -   ,1, -   ,2,718,539,"1,819"
2013,INP,INDIANAPOLIS IN ,584,680,49,"1,465",1,2, -   ,5,585,731,"1,470"
2013,JAC,JACKSONV'L FL ,684,748,56,"1,779",10,25, -   ,16,694,829,"1,795"
2013,KAN,KANSAS CITY MO ,567,474,25,"1,437",19,20,6,58,586,525,"1,495"
2013,KND,KENDALL FL,"2,494","2,779",243,"8,702",5,6,1,15,"2,499","3,029","8,717"
2013,LAW,LAWRENCE MA,"1,232","1,151",223,"3,186",3, -   , -   ,6,"1,235","1,374","3,192"
2013,LNY,LONG ISLAND NY,"3,191","3,671",134,"15,151",5,1,1,19,"3,196","3,807","15,170"
2013,LOS,LOS ANGELES CA ,"3,314","4,080",292,"11,782",17, -   , -   ,32,"3,331","4,372","11,814"
2013,LAC,LOS ANGELES COUNTY CA ,"3,155","4,251",292,"9,314", -   ,11,2,1,"3,155","4,556","9,315"
2013,LOU,LOUISVILLE KY ,486,452,77,"1,006",2,13,2,11,488,544,"1,017"
2013,LVG,LAS VEGAS NV ,"1,109","1,195",188,"4,906",1,10,3,9,"1,110","1,396","4,915"
2013,MAN,MANCHESTER NH ,270,250,36,500,1,1, -   ,4,271,287,504
2013,MEM,MEMPHIS TN ,989,776,113,"2,811",2, -   ,1,9,991,890,"2,820"
2013,MIA,MIAMI FL ,"3,086","2,846",352,"9,104",5,5,3,16,"3,091","3,206","9,120"
2013,MIL,MILWAUKEE WI ,526,579,88,"1,571",1,2, -   ,4,527,669,"1,575"
2013,MTL,MOUNT LAUREL NJ,"1,138","1,253",79,"2,975", -   ,4,1,18,"1,138","1,337","2,993"
2013,NEW,NEWARK NJ ,"5,384","4,996",437,"16,332",13,4,3,46,"5,397","5,440","16,378"
2013,NOL,NEW ORLEANS LA ,554,527,78,"1,750",12,15, -   ,14,566,620,"1,764"
2013,NOR,NORFOLK VA ,579,479,32,"2,188",48,84,9,101,627,604,"2,289"
2013,NYC,NEW YORK NY ,"9,827","6,965","1,063","40,841",13,12,15,115,"9,840","8,055","40,956"
2013,OKC,OKLAHOMA CITY OK ,451,377,44,"1,203",150,133,1,200,601,555,"1,403"
2013,OKL,OAKLAND PARK FL,"3,026","2,685",221,"9,716",4,14,1,9,"3,030","2,921","9,725"
2013,OMA,OMAHA NE ,412,536,58,900, -   , -   , -   ,15,412,594,915
2013,ORL,ORLANDO FL ,"1,884","1,553",174,"7,470",5,12,3,17,"1,889","1,742","7,487"
2013,PHI,PHILADELPHI PA ,"2,774","2,417",112,"9,368",9,10, -   ,23,"2,783","2,539","9,391"
2013,PHO,PHOENIX AZ ,"1,775","1,834",265,"5,439",8,18,1,29,"1,783","2,118","5,468"
2013,PIT,PITTSBURGH PA ,293,525,15,670,1,2, -   ,8,294,542,678
2013,POM,PORTLAND ME ,142,213,3,390, -   ,2, -   ,1,142,218,391
2013,POO,PORTLAND OR ,"1,084","1,264",97,"3,079",3,2,3,17,"1,087","1,366","3,096"
2013,PRO,PROVIDENCE RI ,552,322,100,"1,440",1,2, -   ,5,553,424,"1,445"
2013,QNS,QUEENS NY,"3,174","5,120",145,"14,282", -   ,7,3,8,"3,174","5,275","14,290"
2013,RAL,RALEIGH NC,761,"1,047",44,"1,799",34,8,3,200,795,"1,102","1,999"
2013,REN,RENO NV ,174,213,23,451, -   ,1, -   ,3,174,237,454
2013,SAA,SANTA ANA CA,"2,326","2,937",256,"6,714",1,8, -   ,21,"2,327","3,201","6,735"
2013,SAC,SACRAMENTO CA ,"2,101","2,136",198,"4,390",9,14,5,10,"2,110","2,353","4,400"
2013,SAJ,SAN JUAN PR ,478,488,21,"1,071", -   ,1, -   , -   ,478,510,"1,071"
2013,SBD,SAN BERNADINO CA,"2,107","2,712",253,"6,390",13,22, -   ,20,"2,120","2,987","6,410"
2013,SEA,SEATTLE WA ,"2,360","2,578",209,"4,409",12,21, -   ,37,"2,372","2,808","4,446"
2013,SFR,SAN FRAN. CA ,"3,796","4,743",288,"10,018",9,11,2,15,"3,805","5,044","10,033"
2013,SFV,SAN FERNANDO VALLEY CA,"1,974","2,691",190,"6,916",6,14, -   ,13,"1,980","2,895","6,929"
2013,SLC,SALT LAKE CITY UT ,641,698,53,"1,324",2,1, -   ,6,643,752,"1,330"
2013,SNA,SAN ANTONIO TX ,"1,568","1,153",125,"4,333",67,67,1,109,"1,635","1,346","4,442"
2013,SND,SAN DIEGO CA ,993,"1,684",85,"2,308",41,10,5,126,"1,034","1,784","2,434"
2013,SNJ,SAN JOSE CA ,"2,338","3,041",247,"4,949",7,5,2,14,"2,345","3,295","4,963"
2013,SPM,ST PAUL MN ,"1,953","1,598",210,"4,575",11,1,1,42,"1,964","1,810","4,617"
2013,SPO,SPOKANE WA ,152,190,15,322, -   ,5,1,7,152,211,329
2013,STA,ST ALBANS VT ,86,62,6,192, -   ,1, -   , -   ,86,69,192
2013,STL,ST LOUIS MO ,488,363,54,"1,050",2,1, -   ,3,490,418,"1,053"
2013,TAM,TAMPA FL ,"2,186","2,465",148,"6,819",5,5,1,24,"2,191","2,619","6,843"
2013,TUC,TUCSON AZ/SUB ,361,373,77,"1,077",5,9,1,13,366,460,"1,090"
2013,WAS,WASHINGTON DC ,"2,827","3,192",240,"9,720",43,14,3,99,"2,870","3,449","9,819"
2013,WIC,WICHITA KS,182,178,22,613, -   ,1, -   ,4,182,201,617
2013,WPB,WEST PALM BEACH FL,"2,051","1,574",425,"6,594",4,6, -   ,7,"2,055","2,005","6,601"
2013,YAK,YAKIMA WA,232,169,14,329,2, -   , -   ,2,234,183,331
2013 YTD Total,,,"123,924","128,849","11,728","387,306","1,505","1,296",133,"3,012","125,429","142,006","390,318"
Grand Total,,,"2,456,313","2,173,943","189,329","387,306","34,830","28,714","2,460","3,012","2,491,143","2,394,446","390,318"
,,,,,,,,,,,,,
Please note: The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,
Data: Based on November 2012 Final,,,,,,,,,,,,,
Source: Performance Analysis System (PAS),,,,,,,,,,,,,
"Report Created: January 2, 2012",,,,,,,,,,,,,
Report Frequency: Monthly,,,,,,,,,,,,,
"By: Office of Performance and Quality (OPQ), Data Analysis and Reporting Branch (DARB) - KS",,,,,,,,,,,,,
Parameters:,,,,,,,,,,,,,
Date(s): Oct 2009 - Nov 2012 (updated FY2013 data),,,,,,,,,,,,,
Form Type(s):  N-400,,,,,,,,,,,,,
"Data Type(s): Receipts, Approvals, Denials, and Pending",,,,,,,,,,,,,
USCIS Offices/Centers: Field Offices,,,,,,,,,,,,,
