,,,,,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Applications by Category and Case Status,,,,,,,,,,,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,,Total,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Total,,," 283,234 "," 186,864 "," 20,806 "," 520,283 "," 2,802 "," 2,135 ", 155 ," 3,731 "," 286,036 "," 188,999 "," 20,961 "," 524,014 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,
,Atlanta ,ATL," 7,275 "," 5,454 ", 548 ," 12,906 ", 176 , 144 , 18 , 250 ," 7,451 "," 5,598 ", 566 ," 13,156 ",,,,,,,,,,
Hawaii,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Honolulu ,HHW," 1,367 "," 1,038 ", 52 ," 1,867 ", 21 , 42 , 18 , 76 ," 1,388 "," 1,080 ", 70 ," 1,943 ",,,,,,,,,,
Idaho,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Boise ,BOI, 534 , 386 , 35 , 824 , D , -   , -   , D , 537 , 386 , 35 , 826 ,,,,,,,,,,
Illinois,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Chicago ,CHI," 8,837 "," 6,725 ", 538 ," 17,415 ", 462 , 201 , D , 264 ," 9,299 "," 6,926 ", 541 ," 17,679 ",,,,,,,,,,
Indiana,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Indianapolis ,INP," 1,600 "," 1,228 ", 85 ," 2,598 ", D , D , -   , D ," 1,601 "," 1,236 ", 85 ," 2,599 ",,,,,,,,,,
Iowa,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Des Moines,DSM, 941 , 452 , 75 ," 2,603 ", D , D , -   , D , 943 , 454 , 75 ," 2,606 ",,,,,,,,,,
Kansas,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Wichita,WIC, 444 , 269 , 18 , 779 , D , D , -   , D , 445 , 273 , 18 , 782 ,,,,,,,,,,
Kentucky,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Louisville ,LOU," 1,017 ", 808 , 78 ," 1,662 ", D , 13 , -   , D ," 1,021 ", 821 , 78 ," 1,670 ",,,,,,,,,,
Louisiana,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,New Orleans ,NOL," 1,262 ", 951 , 63 ," 2,155 ", D , D , -   , D ," 1,268 ", 960 , 63 ," 2,161 ",,,,,,,,,,
Maine,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Portland ,POM, 263 , 351 , D , 388 , D , D , -   , D , 265 , 353 , D , 390 ,,,,,,,,,,
Maryland,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Baltimore ,BAL," 6,366 "," 3,474 ", 471 ," 14,235 ", D , D , -   , 27 ," 6,374 "," 3,478 ", 471 ," 14,262 ",,,,,,,,,,
Massachusetts,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Boston ,BOS," 5,911 "," 4,834 ", 449 ," 10,616 ", D , 12 , -   , 18 ," 5,915 "," 4,846 ", 449 ," 10,634 ",,,,,,,,,,
,Lawrence,LAW," 2,724 "," 1,824 ", 254 ," 5,002 ", D , D , D , D ," 2,726 "," 1,826 ", 256 ," 5,009 ",,,,,,,,,,
Michigan,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Detroit ,DET," 4,175 "," 3,735 ", 420 ," 7,518 ", D , D , D , 16 ," 4,178 "," 3,737 ", 421 ," 7,534 ",,,,,,,,,,
Minnesota,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,St. Paul ,SPM," 3,885 "," 2,617 ", 245 ," 9,300 ", D , 15 , D , 26 ," 3,891 "," 2,632 ", 248 ," 9,326 ",,,,,,,,,,
Missouri,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Kansas City ,KAN," 1,433 ", 938 , 49 ," 2,197 ", 235 , 119 , D , 133 ," 1,668 "," 1,057 ", 51 ," 2,330 ",,,,,,,,,,
,St. Louis ,STL, 766 , 414 , 19 ," 2,669 ", -   , D , -   , 15 , 766 , 422 , 19 ," 2,684 ",,,,,,,,,,
Montana,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Helena ,HEL, 101 , 73 , D , 155 , D , D , D , D , 102 , 79 , D , 156 ,,,,,,,,,,
Nebraska,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Omaha ,OMA, 994 , 905 , 141 ," 1,436 ", D , D , -   , D , 995 , 911 , 141 ," 1,440 ",,,,,,,,,,
Nevada,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Las Vegas ,LVG," 3,331 "," 1,870 ", 270 ," 6,058 ", D , 13 , D , D ," 3,332 "," 1,883 ", 271 ," 6,061 ",,,,,,,,,,
,Reno ,REN, 411 , 278 , 27 , 813 , -   , D , D , -   , 411 , 279 , 28 , 813 ,,,,,,,,,,
New Hampshire,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Manchester ,MAN, 549 , 346 , 33 , 904 , D , D , D , D , 551 , 347 , 34 , 907 ,,,,,,,,,,
New Jersey,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Mount Laurel,MTL," 2,693 "," 1,986 ", 170 ," 4,039 ", D , -   , -   , D ," 2,696 "," 1,986 ", 170 ," 4,047 ",,,,,,,,,,
,Newark ,NEW," 13,364 "," 8,349 ", 650 ," 23,036 ", D , 16 , D , 16 ," 13,372 "," 8,365 ", 652 ," 23,052 ",,,,,,,,,,
New Mexico,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Albuquerque ,ABQ, 672 , 427 , 27 ," 1,209 ", D , D , -   , D , 673 , 429 , 27 ," 1,211 ",,,,,,,,,,
New York,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Albany ,ALB, 744 , 495 , 54 ," 1,522 ", D , -   , D , D , 746 , 495 , 55 ," 1,528 ",,,,,,,,,,
