USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
,,,Naturalization1,Naturalization1,Naturalization1,Naturalization1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Total,Total,Total,Total
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,,
Total,,,"202,128","210,557","22,042","363,270","2,829","1,941",157,"3,739","204,957","212,498","22,199","367,009"
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
,Las Vegas ,LVG,"2,047","1,379",211,"3,629", D , D , -   ,10,"2,053","1,386",211,"3,639"
,Reno ,REN,325,282,44,456, -   , -   , -   , D ,325,282,44,457
New Hampshire,,,,,,,,,,,,,,
,Manchester ,MAN,438,461,21,614, D , D , -   , D ,439,463,21,615
New Jersey,,,,,,,,,,,,,,
,Mount Laurel,MTL,"1,829","1,617",133,"2,805", D , D , -   ,11,"1,836","1,619",133,"2,816"
,Newark ,NEW,"8,313","7,672",602,"14,252",16,19, D ,22,"8,329","7,691",603,"14,274"
New Mexico,,,,,,,,,,,,,,
,Albuquerque ,ABQ,458,340,26,743, D , D , -   , D ,461,345,26,745
New York,,,,,,,,,,,,,,
,Albany ,ALB,631,743,51,"1,025", D , D , -   , D ,633,746,51,"1,033"
,Buffalo ,BUF,"1,331","1,182",227,"2,412", D ,12, D ,13,"1,339","1,194",228,"2,425"
,Long Island,LNY,"5,233","5,076",376,"10,747", D , D , -   ,19,"5,235","5,081",376,"10,766"
,New York ,NYC,"13,425","13,507","2,381","27,322",26,35, -   ,205,"13,451","13,542","2,381","27,527"
,Queens,QNS,"4,956","5,901","1,231","10,218", D , D , -   ,10,"4,961","5,906","1,231","10,228"
North Carolina,,,,,,,,,,,,,,
,Charlotte ,CLT,"1,704","1,442",123,"2,649", D , D , -   ,14,"1,708","1,446",123,"2,663"
,Raleigh,RAL,"1,490","1,580",82,"1,781",27,50, D ,20,"1,517","1,630",83,"1,801"
Ohio,,,,,,,,,,,,,,
,Cincinnati ,CIN,656,565,25,"1,028", -   , D , -   , D ,656,570,25,"1,032"
,Cleveland ,CLE,"1,045","1,079",96,"1,517", D , D , -   , D ,"1,049","1,085",96,"1,523"
,Columbus,CLM,"1,129",991,79,"1,682", D , D , -   , D ,"1,130",993,79,"1,683"
Oklahoma,,,,,,,,,,,,,,
,Oklahoma City ,OKC,894,"1,274",113,"1,905",258,115, -   ,323,"1,152","1,389",113,"2,228"
Oregon,,,,,,,,,,,,,,
,Portland ,POO,"1,777","1,920",128,"4,355", D , D , -   , D ,"1,780","1,923",128,"4,359"
Pennsylvania,,,,,,,,,,,,,,
,Philadelphia,PHI,"4,470","3,775",326,"7,798",10, D , -   ,15,"4,480","3,783",326,"7,813"
,Pittsburgh ,PIT,682,806,17,"1,620", -   , D , -   , D ,682,809,17,"1,623"
Rhode Island,,,,,,,,,,,,,,
,Providence ,PRO,699,871,102,"1,091", D , D , -   , D ,703,872,102,"1,096"
South Carolina,,,,,,,,,,,,,,
,Charleston ,CHL,921,797,72,"1,637",971,409,24,"1,345","1,892","1,206",96,"2,982"
Tennessee,,,,,,,,,,,,,,
,Memphis ,MEM,"1,802","2,311",166,"3,307", D , D , D , D ,"1,805","2,318",167,"3,310"
Texas,,,,,,,,,,,,,,
,Dallas ,DAL,"6,033","8,279",982,"10,847",13,15, D ,27,"6,046","8,294",985,"10,874"
,El Paso ,ELP,"1,165","1,343",65,"2,303",16,29, -   ,65,"1,181","1,372",65,"2,368"
,Harlingen ,HLG,812,893,113,"1,522", D , D , -   , D ,813,898,113,"1,528"
,Houston ,HOU,"6,641","8,125","1,118","14,003",16,10, -   ,23,"6,657","8,135","1,118","14,026"
,San Antonio ,SNA,"2,797","3,038",166,"4,874",140,150, D ,173,"2,937","3,188",175,"5,047"
Utah,,,,,,,,,,,,,,
,Salt Lake City ,SLC,"1,139","1,074",87,"1,433", D , D , -   , D ,"1,142","1,078",87,"1,438"
Vermont,,,,,,,,,,,,,,
,St. Albans ,STA,167,201, D ,271, -   , D , -   , -   ,167,202, D ,271
Virginia,,,,,,,,,,,,,,
,Norfolk ,NOR,"1,206","1,135",110,"2,463",54,120,19,121,"1,260","1,255",129,"2,584"
Washington,,,,,,,,,,,,,,
,Seattle ,SEA,"3,746","3,774",382,"10,644", D ,39, D ,19,"3,752","3,813",386,"10,663"
,Spokane ,SPO,221,243,11,349, D , D , -   , D ,222,246,11,351
,Yakima,YAK,418,575,34,510, -   , -   , -   , -   ,418,575,34,510
Wisconsin,,,,,,,,,,,,,,
,Milwaukee ,MIL,954,894,84,"1,573", D , D , D , D ,955,896,85,"1,579"
,,,,,,,,,,,,,,
Field Office by Territory6,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,
,Hagatna,AGA,220,217,15,367, -   , D , -   , D ,220,218,15,369
U.S. Virgin Islands,,,,,,,,,,,,,,
,Charlotte Amalie,CHA,90,109,15,155, D , -   , -   , D ,95,109,15,158
,Christiansted ,CHR,63,44, D ,192, D , -   , -   , D ,64,44, D ,194
Puerto Rico,,,,,,,,,,,,,,
,San Juan ,SAJ,813,750,120,"1,244", D , D , -   , -   ,815,751,120,"1,244"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,
"1  ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other N-400 naturalizations are included in ""Naturalization.""",,,,,,,,,,,,,,
 Total includes both general and military naturalization. ,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,
            2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS),  September 2015",,,,,,,,,,,,,,
